date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:01	34/34	---M--	200	added ('OK')	text/plain	etag:%2222-4f93531818f80%22	https://www.harrellhospitality.com/robots.txt		(from )
21:58:01	10313/10313	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:00%20GMT	https://www.harrellhospitality.com/	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/index.html	(from )
21:58:01	240/240	---M--	200	added ('OK')	image/png	etag:%22f0-54eca75e73400%22	https://www.harrellhospitality.com/images/favicon.png	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/favicon.png	(from https://www.harrellhospitality.com/)
21:58:02	31949/31949	---M--	200	added ('OK')	text/css	etag:%225ba13c3d-7ccd%22	https://www.harrellhospitality.com/css/style.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/css/style.css	(from https://www.harrellhospitality.com/)
21:58:02	14973/14973	---M--	200	added ('OK')	text/css	etag:%225bcf87fb-3a7d%22	https://www.harrellhospitality.com/css/font-awesome.min.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/css/font-awesome.min.css	(from https://www.harrellhospitality.com/)
21:58:03	1004/1004	---M-Z	200	added ('OK')	text/css	etag:%223ec-54eca353b6ac0-gzip%22	https://www.harrellhospitality.com/css/isotope.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/css/isotope.css	(from https://www.harrellhospitality.com/)
21:58:03	1350/1350	---M--	200	added ('OK')	text/css	etag:%22590cb613-546%22	https://www.harrellhospitality.com/css/responsiveslides.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/css/responsiveslides.css	(from https://www.harrellhospitality.com/)
21:58:03	19714/19714	---M--	200	added ('OK')	text/css	etag:%22590cb613-4d02%22	https://www.harrellhospitality.com/js/prettyPhoto/css/prettyPhoto.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/prettyPhoto/css/prettyPhoto.css	(from https://www.harrellhospitality.com/)
21:58:04	93444/93444	---M--	200	added ('OK')	application/javascript	etag:%22590c868c-16d04%22	https://www.harrellhospitality.com/js/jquery-1.10.2.min.js	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/jquery-1.10.2.min.js	(from https://www.harrellhospitality.com/)
21:58:04	7062/7062	---M--	200	added ('OK')	application/javascript	etag:%22590c868d-1b96%22	https://www.harrellhospitality.com/js/jquery-migrate-1.2.1.js	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/jquery-migrate-1.2.1.js	(from https://www.harrellhospitality.com/)
21:58:05	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/DELL/Desktop/websites/harrell/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://www.harrellhospitality.com/)
21:58:05	228539/228539	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1/jquery-ui.min.js	C:/Users/DELL/Desktop/websites/harrell/ajax.googleapis.com/ajax/libs/jqueryui/1/jquery-ui.min.js	(from https://www.harrellhospitality.com/)
21:58:06	9458/9458	---M--	200	added ('OK')	application/javascript	etag:%225bcf89d7-24f2%22	https://www.harrellhospitality.com/js/font_awesome_script.min.js	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/font_awesome_script.min.js	(from https://www.harrellhospitality.com/)
21:58:06	40798/40798	---M--	200	added ('OK')	application/javascript	etag:%225b8eb987-9f5e%22	https://www.harrellhospitality.com/js/jquery.nerveSlider.js	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/jquery.nerveSlider.js	(from https://www.harrellhospitality.com/)
21:58:06	7751/7751	---M--	200	added ('OK')	text/css	etag:%22590cb613-1e47%22	https://www.harrellhospitality.com/css/nerveSlider.css	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/css/nerveSlider.css	(from https://www.harrellhospitality.com/)
21:58:07	10313/10313	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:06%20GMT	https://www.harrellhospitality.com/index.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/index-2.html	(from https://www.harrellhospitality.com/)
21:58:07	9280/9280	---M--	200	added ('OK')	image/png	etag:%225bcf66a8-2440%22	https://www.harrellhospitality.com/images/2018-Harrell_Logo-Horizontal.png	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/2018-Harrell_Logo-Horizontal.png	(from https://www.harrellhospitality.com/)
21:58:07	13519/13519	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:07%20GMT	https://www.harrellhospitality.com/about.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/about.html	(from https://www.harrellhospitality.com/)
21:58:08	8683/8683	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:07%20GMT	https://www.harrellhospitality.com/why-harrell.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/why-harrell.html	(from https://www.harrellhospitality.com/)
21:58:08	11037/11037	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:08%20GMT	https://www.harrellhospitality.com/portfolio.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/portfolio.html	(from https://www.harrellhospitality.com/)
21:58:08	5996/5996	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:08%20GMT	https://www.harrellhospitality.com/harrell-job-postings.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/harrell-job-postings.html	(from https://www.harrellhospitality.com/)
21:58:09	18471/18471	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:08%20GMT	https://www.harrellhospitality.com/news.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/news.html	(from https://www.harrellhospitality.com/)
21:58:09	9793/9793	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:09%20GMT	https://www.harrellhospitality.com/contact.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/contact.html	(from https://www.harrellhospitality.com/)
21:58:10	59815/59815	---M--	200	added ('OK')	image/jpeg	etag:%225bcf2bbb-e9a7%22	https://www.harrellhospitality.com/images/2018-main_slider-1.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/2018-main_slider-1.jpg	(from https://www.harrellhospitality.com/)
21:58:11	60669/60669	---M--	200	added ('OK')	image/jpeg	etag:%225bcf2c5e-ecfd%22	https://www.harrellhospitality.com/images/2018-main_slider-2.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/2018-main_slider-2.jpg	(from https://www.harrellhospitality.com/)
21:58:11	97956/97956	---M--	200	added ('OK')	image/jpeg	etag:%225bcf2cbf-17ea4%22	https://www.harrellhospitality.com/images/2018-main_slider-3.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/2018-main_slider-3.jpg	(from https://www.harrellhospitality.com/)
21:58:11	55591/55591	---M--	200	added ('OK')	image/jpeg	etag:%2259551276-d927%22	https://www.harrellhospitality.com/images/brands-approved.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/brands-approved.jpg	(from https://www.harrellhospitality.com/)
21:58:11	6968/6968	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:11%20GMT	https://www.harrellhospitality.com/westin-southlake.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/westin-southlake.html	(from https://www.harrellhospitality.com/)
21:58:12	42265/42265	---M--	200	added ('OK')	image/jpeg	etag:%22596d3166-a519%22	https://www.harrellhospitality.com/images/featured-southlakewestin.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/featured-southlakewestin.jpg	(from https://www.harrellhospitality.com/)
21:58:12	6942/6942	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Jan%202023%2016:28:11%20GMT	https://www.harrellhospitality.com/delta-hotel-santa-clara.html	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/delta-hotel-santa-clara.html	(from https://www.harrellhospitality.com/)
21:58:15	26693/26693	---M--	200	added ('OK')	image/jpeg	etag:%2261549785-6845%22	https://www.harrellhospitality.com/images/featured-delta.jpg	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/featured-delta.jpg	(from https://www.harrellhospitality.com/)
21:58:15	26146/26146	---M--	200	added ('OK')	image/png	etag:%225bcf6b1e-6622%22	https://www.harrellhospitality.com/images/2018-Harrell_Logo-Crest.png	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/images/2018-Harrell_Logo-Crest.png	(from https://www.harrellhospitality.com/)
21:58:16	14622/14622	---M--	200	added ('OK')	application/javascript	etag:%22590c8690-391e%22	https://www.harrellhospitality.com/js/modernizr-2.6.1.min.js	C:/Users/DELL/Desktop/websites/harrell/www.harrellhospitality.com/js/modernizr-2.6.1.min.js	(from https://www.harrellhospitality.com/)
